municipality_code,municipality_name,variable_code,variable_name,period,value_raw,source,value
1100122,Ji-Paraná - RO,367,Número de empresas e outras organizações atuantes,2024,7053,cempre_general,7053.0
1100122,Ji-Paraná - RO,707,Pessoal ocupado total,2024,40272,cempre_general,40272.0
1100122,Ji-Paraná - RO,708,Pessoal ocupado assalariado,2024,31698,cempre_general,31698.0
1100122,Ji-Paraná - RO,662,Salários e outras remunerações,2024,1121982.981,cempre_general,1121982.981
1100122,Ji-Paraná - RO,10143,Salário médio mensal em reais,2024,2742.92,cempre_general,2742.92
1100130,Machadinho D'Oeste - RO,706,Número de unidades locais,2024,1045,cempre_general,1045.0
1100130,Machadinho D'Oeste - RO,367,Número de empresas e outras organizações atuantes,2024,1011,cempre_general,1011.0
1100130,Machadinho D'Oeste - RO,707,Pessoal ocupado total,2024,4403,cempre_general,4403.0
1100130,Machadinho D'Oeste - RO,708,Pessoal ocupado assalariado,2024,3341,cempre_general,3341.0
1100130,Machadinho D'Oeste - RO,662,Salários e outras remunerações,2024,106782.646,cempre_general,106782.646
1100130,Machadinho D'Oeste - RO,10143,Salário médio mensal em reais,2024,2419.11,cempre_general,2419.11
1100148,Nova Brasilândia D'Oeste - RO,706,Número de unidades locais,2024,620,cempre_general,620.0
1100148,Nova Brasilândia D'Oeste - RO,367,Número de empresas e outras organizações atuantes,2024,605,cempre_general,605.0
1100148,Nova Brasilândia D'Oeste - RO,707,Pessoal ocupado total,2024,2710,cempre_general,2710.0
1100148,Nova Brasilândia D'Oeste - RO,708,Pessoal ocupado assalariado,2024,2070,cempre_general,2070.0
1100148,Nova Brasilândia D'Oeste - RO,662,Salários e outras remunerações,2024,76933.202,cempre_general,76933.202
1100148,Nova Brasilândia D'Oeste - RO,10143,Salário médio mensal em reais,2024,2905.64,cempre_general,2905.64
1100155,Ouro Preto do Oeste - RO,706,Número de unidades locais,2024,1578,cempre_general,1578.0
1100155,Ouro Preto do Oeste - RO,367,Número de empresas e outras organizações atuantes,2024,1528,cempre_general,1528.0
1100155,Ouro Preto do Oeste - RO,707,Pessoal ocupado total,2024,7862,cempre_general,7862.0
1100155,Ouro Preto do Oeste - RO,708,Pessoal ocupado assalariado,2024,6134,cempre_general,6134.0
1100155,Ouro Preto do Oeste - RO,662,Salários e outras remunerações,2024,225064.776,cempre_general,225064.776
1100155,Ouro Preto do Oeste - RO,10143,Salário médio mensal em reais,2024,2825.03,cempre_general,2825.03
1100189,Pimenta Bueno - RO,706,Número de unidades locais,2024,2033,cempre_general,2033.0
1100189,Pimenta Bueno - RO,367,Número de empresas e outras organizações atuantes,2024,1964,cempre_general,1964.0
1100189,Pimenta Bueno - RO,707,Pessoal ocupado total,2024,12228,cempre_general,12228.0
1100189,Pimenta Bueno - RO,708,Pessoal ocupado assalariado,2024,9895,cempre_general,9895.0
1100189,Pimenta Bueno - RO,662,Salários e outras remunerações,2024,379041.342,cempre_general,379041.342
1100189,Pimenta Bueno - RO,10143,Salário médio mensal em reais,2024,2885.87,cempre_general,2885.87
1100205,Porto Velho - RO,706,Número de unidades locais,2024,23649,cempre_general,23649.0
1100205,Porto Velho - RO,367,Número de empresas e outras organizações atuantes,2024,22054,cempre_general,22054.0
1100205,Porto Velho - RO,707,Pessoal ocupado total,2024,206670,cempre_general,206670.0
1100205,Porto Velho - RO,708,Pessoal ocupado assalariado,2024,181169,cempre_general,181169.0
1100205,Porto Velho - RO,662,Salários e outras remunerações,2024,11050262.672,cempre_general,11050262.672
1100205,Porto Velho - RO,10143,Salário médio mensal em reais,2024,4700.32,cempre_general,4700.32
1100254,Presidente Médici - RO,706,Número de unidades locais,2024,717,cempre_general,717.0
1100254,Presidente Médici - RO,367,Número de empresas e outras organizações atuantes,2024,695,cempre_general,695.0
1100254,Presidente Médici - RO,707,Pessoal ocupado total,2024,3943,cempre_general,3943.0
1100254,Presidente Médici - RO,708,Pessoal ocupado assalariado,2024,3214,cempre_general,3214.0
1100254,Presidente Médici - RO,662,Salários e outras remunerações,2024,107904.722,cempre_general,107904.722
1100254,Presidente Médici - RO,10143,Salário médio mensal em reais,2024,2567.72,cempre_general,2567.72
1100262,Rio Crespo - RO,706,Número de unidades locais,2024,121,cempre_general,121.0
1100262,Rio Crespo - RO,367,Número de empresas e outras organizações atuantes,2024,121,cempre_general,121.0
1100262,Rio Crespo - RO,707,Pessoal ocupado total,2024,555,cempre_general,555.0
1100262,Rio Crespo - RO,708,Pessoal ocupado assalariado,2024,471,cempre_general,471.0
1100262,Rio Crespo - RO,662,Salários e outras remunerações,2024,18037.598,cempre_general,18037.598
1100262,Rio Crespo - RO,10143,Salário médio mensal em reais,2024,3049.07,cempre_general,3049.07
1100288,Rolim de Moura - RO,706,Número de unidades locais,2024,2551,cempre_general,2551.0
1100288,Rolim de Moura - RO,367,Número de empresas e outras organizações atuantes,2024,2473,cempre_general,2473.0
1100288,Rolim de Moura - RO,707,Pessoal ocupado total,2024,16238,cempre_general,16238.0
1100288,Rolim de Moura - RO,708,Pessoal ocupado assalariado,2024,13390,cempre_general,13390.0
1100288,Rolim de Moura - RO,662,Salários e outras remunerações,2024,468103.501,cempre_general,468103.501
1100288,Rolim de Moura - RO,10143,Salário médio mensal em reais,2024,2639.99,cempre_general,2639.99
1100296,Santa Luzia D'Oeste - RO,706,Número de unidades locais,2024,206,cempre_general,206.0
1100296,Santa Luzia D'Oeste - RO,367,Número de empresas e outras organizações atuantes,2024,204,cempre_general,204.0
1100296,Santa Luzia D'Oeste - RO,707,Pessoal ocupado total,2024,959,cempre_general,959.0
1100296,Santa Luzia D'Oeste - RO,708,Pessoal ocupado assalariado,2024,788,cempre_general,788.0
1100296,Santa Luzia D'Oeste - RO,662,Salários e outras remunerações,2024,28804.182,cempre_general,28804.182
1100296,Santa Luzia D'Oeste - RO,10143,Salário médio mensal em reais,2024,2792.04,cempre_general,2792.04
1100304,Vilhena - RO,706,Número de unidades locais,2024,6467,cempre_general,6467.0
1100304,Vilhena - RO,367,Número de empresas e outras organizações atuantes,2024,6186,cempre_general,6186.0
1100304,Vilhena - RO,707,Pessoal ocupado total,2024,35339,cempre_general,35339.0
1100304,Vilhena - RO,708,Pessoal ocupado assalariado,2024,27951,cempre_general,27951.0
1100304,Vilhena - RO,662,Salários e outras remunerações,2024,1140241.818,cempre_general,1140241.818
1100304,Vilhena - RO,10143,Salário médio mensal em reais,2024,3073.84,cempre_general,3073.84
1100320,São Miguel do Guaporé - RO,706,Número de unidades locais,2024,808,cempre_general,808.0
1100320,São Miguel do Guaporé - RO,367,Número de empresas e outras organizações atuantes,2024,786,cempre_general,786.0
1100320,São Miguel do Guaporé - RO,707,Pessoal ocupado total,2024,4460,cempre_general,4460.0
1100320,São Miguel do Guaporé - RO,708,Pessoal ocupado assalariado,2024,3682,cempre_general,3682.0
1100320,São Miguel do Guaporé - RO,662,Salários e outras remunerações,2024,131583.389,cempre_general,131583.389
1100320,São Miguel do Guaporé - RO,10143,Salário médio mensal em reais,2024,2726.45,cempre_general,2726.45
1100338,Nova Mamoré - RO,706,Número de unidades locais,2024,687,cempre_general,687.0
1100338,Nova Mamoré - RO,367,Número de empresas e outras organizações atuantes,2024,655,cempre_general,655.0
1100338,Nova Mamoré - RO,707,Pessoal ocupado total,2024,2962,cempre_general,2962.0
1100338,Nova Mamoré - RO,708,Pessoal ocupado assalariado,2024,2333,cempre_general,2333.0
1100338,Nova Mamoré - RO,662,Salários e outras remunerações,2024,76752.526,cempre_general,76752.526
1100338,Nova Mamoré - RO,10143,Salário médio mensal em reais,2024,2620.83,cempre_general,2620.83
1100346,Alvorada D'Oeste - RO,706,Número de unidades locais,2024,458,cempre_general,458.0
1100346,Alvorada D'Oeste - RO,367,Número de empresas e outras organizações atuantes,2024,452,cempre_general,452.0
1100346,Alvorada D'Oeste - RO,707,Pessoal ocupado total,2024,1754,cempre_general,1754.0
1100346,Alvorada D'Oeste - RO,708,Pessoal ocupado assalariado,2024,1300,cempre_general,1300.0
1100346,Alvorada D'Oeste - RO,662,Salários e outras remunerações,2024,42772.548,cempre_general,42772.548
1100346,Alvorada D'Oeste - RO,10143,Salário médio mensal em reais,2024,2672.74,cempre_general,2672.74
1100379,Alto Alegre dos Parecis - RO,706,Número de unidades locais,2024,299,cempre_general,299.0
1100379,Alto Alegre dos Parecis - RO,367,Número de empresas e outras organizações atuantes,2024,296,cempre_general,296.0
1100379,Alto Alegre dos Parecis - RO,707,Pessoal ocupado total,2024,1366,cempre_general,1366.0
1100379,Alto Alegre dos Parecis - RO,708,Pessoal ocupado assalariado,2024,1066,cempre_general,1066.0
1100379,Alto Alegre dos Parecis - RO,662,Salários e outras remunerações,2024,44998.083,cempre_general,44998.083
1100379,Alto Alegre dos Parecis - RO,10143,Salário médio mensal em reais,2024,3228.70,cempre_general,3228.7
1100403,Alto Paraíso - RO,706,Número de unidades locais,2024,470,cempre_general,470.0
1100403,Alto Paraíso - RO,367,Número de empresas e outras organizações atuantes,2024,464,cempre_general,464.0
